연번,시위일자,호선,역명,,,,,,,,,,,,
271,2022-07-05,4,삼각지,,,,,,,,,,,,
272,2022-07-05,4,숙대입구(갈월),,,,,,,,,,,,
273,2022-07-05,4,서울역,,,,,,,,,,,,
274,2022-07-05,4,회현(남대문시장),,,,,,,,,,,,
275,2022-07-05,4,명동,,,,,,,,,,,,
276,2022-07-05,4,충무로,,,,,,,,,,,,
277,2022-07-05,4,동대문역사문화공원(DDP),,,,,,,,,,,,
278,2022-07-05,4,동대문,,,,,,,,,,,,
279,2022-07-05,4,혜화,,,,,,,,,,,,
280,2022-07-05,4,한성대입구(삼선교),,,,,,,,,,,,
281,2022-07-05,4,혜화,,,,,,,,,,,,
282,2022-07-06,4,삼각지,,,,,,,,,,,,
283,2022-07-06,4,숙대입구(갈월),,,,,,,,,,,,
284,2022-07-06,4,서울역,,,,,,,,,,,,
285,2022-07-06,4,회현(남대문시장),,,,,,,,,,,,
286,2022-07-06,4,명동,,,,,,,,,,,,
287,2022-07-06,4,충무로,,,,,,,,,,,,
288,2022-07-06,4,동대문역사문화공원(DDP),,,,,,,,,,,,
289,2022-07-06,4,동대문,,,,,,,,,,,,
290,2022-07-06,4,혜화,,,,,,,,,,,,
291,2022-07-07,4,삼각지,,,,,,,,,,,,
292,2022-07-07,4,숙대입구(갈월),,,,,,,,,,,,
293,2022-07-07,4,서울역,,,,,,,,,,,,
294,2022-07-07,4,회현(남대문시장),,,,,,,,,,,,
295,2022-07-07,4,명동,,,,,,,,,,,,
296,2022-07-07,4,충무로,,,,,,,,,,,,
297,2022-07-07,4,동대문역사문화공원(DDP),,,,,,,,,,,,
298,2022-07-07,4,동대문,,,,,,,,,,,,
299,2022-07-07,4,혜화,,,,,,,,,,,,
300,2022-07-08,4,삼각지,,,,,,,,,,,,
301,2022-07-08,4,숙대입구(갈월),,,,,,,,,,,,
302,2022-07-08,4,서울역,,,,,,,,,,,,
303,2022-07-08,4,회현(남대문시장),,,,,,,,,,,,
304,2022-07-08,4,명동,,,,,,,,,,,,
305,2022-07-08,4,충무로,,,,,,,,,,,,
306,2022-07-08,4,동대문역사문화공원(DDP),,,,,,,,,,,,
307,2022-07-08,4,동대문,,,,,,,,,,,,
308,2022-07-08,4,혜화,,,,,,,,,,,,
309,2022-07-11,4,삼각지,,,,,,,,,,,,
310,2022-07-11,4,숙대입구(갈월),,,,,,,,,,,,
311,2022-07-11,4,서울역,,,,,,,,,,,,
312,2022-07-11,4,회현(남대문시장),,,,,,,,,,,,
313,2022-07-11,4,명동,,,,,,,,,,,,
314,2022-07-11,4,충무로,,,,,,,,,,,,
315,2022-07-11,4,동대문역사문화공원(DDP),,,,,,,,,,,,
316,2022-07-11,4,동대문,,,,,,,,,,,,
317,2022-07-11,4,혜화,,,,,,,,,,,,
318,2022-07-12,4,삼각지,,,,,,,,,,,,
319,2022-07-12,4,숙대입구(갈월),,,,,,,,,,,,
320,2022-07-12,4,서울역,,,,,,,,,,,,
321,2022-07-12,4,회현(남대문시장),,,,,,,,,,,,
322,2022-07-12,4,명동,,,,,,,,,,,,
323,2022-07-12,4,충무로,,,,,,,,,,,,
324,2022-07-12,4,동대문역사문화공원(DDP),,,,,,,,,,,,
325,2022-07-12,4,동대문,,,,,,,,,,,,
326,2022-07-12,4,혜화,,,,,,,,,,,,
327,2022-07-13,4,삼각지,,,,,,,,,,,,
328,2022-07-13,4,?,,,,,,,,,,,,
329,2022-07-14,4,삼각지,,,,,,,,,,,,
330,2022-07-14,4,숙대입구(갈월),,,,,,,,,,,,
331,2022-07-14,4,서울역,,,,,,,,,,,,
332,2022-07-14,4,회현(남대문시장),,,,,,,,,,,,
333,2022-07-14,4,명동,,,,,,,,,,,,
334,2022-07-14,4,충무로,,,,,,,,,,,,
335,2022-07-14,4,동대문역사문화공원(DDP),,,,,,,,,,,,
336,2022-07-14,4,동대문,,,,,,,,,,,,
337,2022-07-14,4,혜화,,,,,,,,,,,,
338,2022-07-14,4,한성대입구(삼선교),,,,,,,,,,,,
339,2022-07-14,4,혜화,,,,,,,,,,,,
340,2022-07-15,4,삼각지,,,,,,,,,,,,
341,2022-07-15,4,숙대입구(갈월),,,,,,,,,,,,
342,2022-07-15,4,서울역,,,,,,,,,,,,
343,2022-07-15,4,회현(남대문시장),,,,,,,,,,,,
344,2022-07-15,4,명동,,,,,,,,,,,,
345,2022-07-15,4,충무로,,,,,,,,,,,,
346,2022-07-15,4,동대문역사문화공원(DDP),,,,,,,,,,,,
347,2022-07-15,4,동대문,,,,,,,,,,,,
348,2022-07-15,4,혜화,,,,,,,,,,,,
349,2022-07-18,4,삼각지,,,,,,,,,,,,
350,2022-07-18,4,숙대입구(갈월),,,,,,,,,,,,
351,2022-07-18,4,서울역,,,,,,,,,,,,
352,2022-07-18,4,회현(남대문시장),,,,,,,,,,,,
353,2022-07-18,4,명동,,,,,,,,,,,,
354,2022-07-18,4,충무로,,,,,,,,,,,,
355,2022-07-18,4,동대문역사문화공원(DDP),,,,,,,,,,,,
356,2022-07-18,4,동대문,,,,,,,,,,,,
357,2022-07-18,4,혜화,,,,,,,,,,,,
358,2022-07-19,4,삼각지,,,,,,,,,,,,
359,2022-07-19,4,?,,,,,,,,,,,,
360,2022-07-20,4,삼각지,,,,,,,,,,,,
361,2022-07-20,4,숙대입구(갈월),,,,,,,,,,,,
362,2022-07-20,4,서울역,,,,,,,,,,,,
363,2022-07-20,4,회현(남대문시장),,,,,,,,,,,,
364,2022-07-20,4,명동,,,,,,,,,,,,
365,2022-07-20,4,충무로,,,,,,,,,,,,
366,2022-07-20,4,동대문역사문화공원(DDP),,,,,,,,,,,,
367,2022-07-20,4,동대문,,,,,,,,,,,,
368,2022-07-20,4,혜화,,,,,,,,,,,,
369,2022-07-21,4,삼각지,,,,,,,,,,,,
370,2022-07-21,4,?,,,,,,,,,,,,
371,2022-07-22,4,삼각지,,,,,,,,,,,,
372,2022-07-22,4,숙대입구(갈월),,,,,,,,,,,,
373,2022-07-22,4,서울역,,,,,,,,,,,,
374,2022-07-22,4,회현(남대문시장),,,,,,,,,,,,
375,2022-07-22,4,명동,,,,,,,,,,,,
376,2022-07-22,4,충무로,,,,,,,,,,,,
377,2022-07-22,4,동대문역사문화공원(DDP),,,,,,,,,,,,
378,2022-07-22,4,동대문,,,,,,,,,,,,
379,2022-07-22,4,혜화,,,,,,,,,,,,
380,2022-07-25,4,삼각지,,,,,,,,,,,,
381,2022-07-25,4,?,,,,,,,,,,,,
382,2022-07-26,4,삼각지,,,,,,,,,,,,
383,2022-07-26,4,?,,,,,,,,,,,,
384,2022-07-27,4,삼각지,,,,,,,,,,,,
385,2022-07-27,4,?,,,,,,,,,,,,
386,2022-07-28,4,삼각지,,,,,,,,,,,,
387,2022-07-28,4,숙대입구(갈월),,,,,,,,,,,,
388,2022-07-28,4,서울역,,,,,,,,,,,,
389,2022-07-28,4,회현(남대문시장),,,,,,,,,,,,
390,2022-07-28,4,명동,,,,,,,,,,,,
391,2022-07-28,4,충무로,,,,,,,,,,,,
392,2022-07-28,4,동대문역사문화공원(DDP),,,,,,,,,,,,
393,2022-07-28,4,동대문,,,,,,,,,,,,
394,2022-07-28,4,혜화,,,,,,,,,,,,
395,2022-07-29,4,삼각지,,,,,,,,,,,,
396,2022-07-29,4,?,,,,,,,,,,,,
397,2022-08-02,4,삼각지,,,,,,,,,,,,
398,2022-08-02,4,숙대입구(갈월),,,,,,,,,,,,
399,2022-08-02,4,서울역,,,,,,,,,,,,
400,2022-08-02,4,회현(남대문시장),,,,,,,,,,,,
401,2022-08-02,4,명동,,,,,,,,,,,,
402,2022-08-02,4,충무로,,,,,,,,,,,,
403,2022-08-02,4,동대문역사문화공원(DDP),,,,,,,,,,,,
404,2022-08-02,4,동대문,,,,,,,,,,,,
405,2022-08-02,4,혜화,,,,,,,,,,,,
406,2022-08-03,4,삼각지,,,,,,,,,,,,
407,2022-08-03,4,숙대입구(갈월),,,,,,,,,,,,
408,2022-08-03,4,서울역,,,,,,,,,,,,
409,2022-08-03,4,회현(남대문시장),,,,,,,,,,,,
410,2022-08-03,4,명동,,,,,,,,,,,,
411,2022-08-03,4,충무로,,,,,,,,,,,,
412,2022-08-03,4,동대문역사문화공원(DDP),,,,,,,,,,,,
413,2022-08-03,4,동대문,,,,,,,,,,,,
414,2022-08-03,4,혜화,,,,,,,,,,,,
415,2022-08-04,4,삼각지,,,,,,,,,,,,
416,2022-08-04,4,숙대입구(갈월),,,,,,,,,,,,
417,2022-08-04,4,서울역,,,,,,,,,,,,
418,2022-08-04,4,회현(남대문시장),,,,,,,,,,,,
419,2022-08-04,4,명동,,,,,,,,,,,,
420,2022-08-04,4,충무로,,,,,,,,,,,,
421,2022-08-04,4,동대문역사문화공원(DDP),,,,,,,,,,,,
422,2022-08-04,4,동대문,,,,,,,,,,,,
423,2022-08-04,4,혜화,,,,,,,,,,,,
424,2022-08-05,4,삼각지,,,,,,,,,,,,
425,2022-08-05,4,?,,,,,,,,,,,,
426,2022-08-09,4,삼각지,,,,,,,,,,,,
427,2022-08-09,4,숙대입구(갈월),,,,,,,,,,,,
428,2022-08-09,4,서울역,,,,,,,,,,,,
429,2022-08-09,4,회현(남대문시장),,,,,,,,,,,,
430,2022-08-09,4,명동,,,,,,,,,,,,
431,2022-08-09,4,충무로,,,,,,,,,,,,
432,2022-08-09,4,동대문역사문화공원(DDP),,,,,,,,,,,,
433,2022-08-09,4,동대문,,,,,,,,,,,,
434,2022-08-09,4,혜화,,,,,,,,,,,,
435,2022-08-10,4,삼각지,,,,,,,,,,,,
436,2022-08-10,4,숙대입구(갈월),,,,,,,,,,,,
437,2022-08-10,4,서울역,,,,,,,,,,,,
438,2022-08-10,4,회현(남대문시장),,,,,,,,,,,,
439,2022-08-10,4,명동,,,,,,,,,,,,
440,2022-08-10,4,충무로,,,,,,,,,,,,
441,2022-08-10,4,동대문역사문화공원(DDP),,,,,,,,,,,,
442,2022-08-10,4,동대문,,,,,,,,,,,,
443,2022-08-10,4,혜화,,,,,,,,,,,,
444,2022-08-11,4,삼각지,,,,,,,,,,,,
445,2022-08-11,4,숙대입구(갈월),,,,,,,,,,,,
446,2022-08-11,4,서울역,,,,,,,,,,,,
447,2022-08-11,4,회현(남대문시장),,,,,,,,,,,,
448,2022-08-11,4,명동,,,,,,,,,,,,
449,2022-08-11,4,충무로,,,,,,,,,,,,
450,2022-08-11,4,동대문역사문화공원(DDP),,,,,,,,,,,,
451,2022-08-11,4,동대문,,,,,,,,,,,,
452,2022-08-11,4,혜화,,,,,,,,,,,,
453,2022-08-12,4,삼각지,,,,,,,,,,,,
454,2022-08-12,4,숙대입구(갈월),,,,,,,,,,,,
455,2022-08-12,4,서울역,,,,,,,,,,,,
456,2022-08-12,4,회현(남대문시장),,,,,,,,,,,,
457,2022-08-12,4,명동,,,,,,,,,,,,
458,2022-08-12,4,충무로,,,,,,,,,,,,
459,2022-08-12,4,동대문역사문화공원(DDP),,,,,,,,,,,,
460,2022-08-12,4,동대문,,,,,,,,,,,,
461,2022-08-12,4,혜화,,,,,,,,,,,,
462,2022-08-17,4,삼각지,,,,,,,,,,,,
463,2022-08-17,4,숙대입구(갈월),,,,,,,,,,,,
464,2022-08-17,4,서울역,,,,,,,,,,,,
465,2022-08-17,4,회현(남대문시장),,,,,,,,,,,,
466,2022-08-17,4,명동,,,,,,,,,,,,
467,2022-08-17,4,충무로,,,,,,,,,,,,
468,2022-08-17,4,동대문역사문화공원(DDP),,,,,,,,,,,,
469,2022-08-18,4,삼각지,,,,,,,,,,,,
470,2022-08-18,4,숙대입구(갈월),,,,,,,,,,,,
471,2022-08-18,4,서울역,,,,,,,,,,,,
472,2022-08-18,4,회현(남대문시장),,,,,,,,,,,,
473,2022-08-18,4,명동,,,,,,,,,,,,
474,2022-08-18,4,충무로,,,,,,,,,,,,
475,2022-08-18,4,동대문역사문화공원(DDP),,,,,,,,,,,,
476,2022-08-18,4,동대문,,,,,,,,,,,,
477,2022-08-18,4,혜화,,,,,,,,,,,,
478,2022-08-19,4,삼각지,,,,,,,,,,,,
479,2022-08-19,4,숙대입구(갈월),,,,,,,,,,,,
480,2022-08-19,4,서울역,,,,,,,,,,,,
481,2022-08-19,4,회현(남대문시장),,,,,,,,,,,,
482,2022-08-19,4,명동,,,,,,,,,,,,
483,2022-08-19,4,충무로,,,,,,,,,,,,
484,2022-08-19,4,동대문역사문화공원(DDP),,,,,,,,,,,,
485,2022-08-19,4,동대문,,,,,,,,,,,,
486,2022-08-19,4,혜화,,,,,,,,,,,,
487,2022-08-23,4,삼각지,,,,,,,,,,,,
488,2022-08-23,4,숙대입구(갈월),,,,,,,,,,,,
489,2022-08-23,4,서울역,,,,,,,,,,,,
490,2022-08-23,4,회현(남대문시장),,,,,,,,,,,,
491,2022-08-23,4,명동,,,,,,,,,,,,
492,2022-08-23,4,충무로,,,,,,,,,,,,
493,2022-08-23,4,동대문역사문화공원(DDP),,,,,,,,,,,,
494,2022-08-23,4,동대문,,,,,,,,,,,,
495,2022-08-23,4,혜화,,,,,,,,,,,,
496,2022-08-24,4,삼각지,,,,,,,,,,,,
497,2022-08-24,4,숙대입구(갈월),,,,,,,,,,,,
498,2022-08-24,4,서울역,,,,,,,,,,,,
499,2022-08-24,4,회현(남대문시장),,,,,,,,,,,,
500,2022-08-24,4,명동,,,,,,,,,,,,
501,2022-08-24,4,충무로,,,,,,,,,,,,
502,2022-08-24,4,동대문역사문화공원(DDP),,,,,,,,,,,,
503,2022-08-24,4,동대문,,,,,,,,,,,,
504,2022-08-24,4,혜화,,,,,,,,,,,,
505,2022-08-25,4,삼각지,,,,,,,,,,,,
506,2022-08-25,4,숙대입구(갈월),,,,,,,,,,,,
507,2022-08-25,4,서울역,,,,,,,,,,,,
508,2022-08-25,4,회현(남대문시장),,,,,,,,,,,,
509,2022-08-25,4,명동,,,,,,,,,,,,
510,2022-08-25,4,충무로,,,,,,,,,,,,
511,2022-08-25,4,동대문역사문화공원(DDP),,,,,,,,,,,,
512,2022-08-25,4,동대문,,,,,,,,,,,,
513,2022-08-25,4,혜화,,,,,,,,,,,,
514,2022-08-26,4,삼각지,,,,,,,,,,,,
515,2022-08-26,4,숙대입구(갈월),,,,,,,,,,,,
516,2022-08-26,4,서울역,,,,,,,,,,,,
517,2022-08-26,4,회현(남대문시장),,,,,,,,,,,,
518,2022-08-26,4,명동,,,,,,,,,,,,
519,2022-08-26,4,충무로,,,,,,,,,,,,
520,2022-08-26,4,동대문역사문화공원(DDP),,,,,,,,,,,,
521,2022-08-26,4,동대문,,,,,,,,,,,,
522,2022-08-26,4,혜화,,,,,,,,,,,,
523,2022-08-30,4,삼각지,,,,,,,,,,,,
524,2022-08-30,4,숙대입구(갈월),,,,,,,,,,,,
525,2022-08-30,4,서울역,,,,,,,,,,,,
526,2022-08-30,4,회현(남대문시장),,,,,,,,,,,,
527,2022-08-30,4,명동,,,,,,,,,,,,
528,2022-08-30,4,충무로,,,,,,,,,,,,
529,2022-08-30,4,동대문역사문화공원(DDP),,,,,,,,,,,,
530,2022-08-30,4,동대문,,,,,,,,,,,,
531,2022-08-30,4,혜화,,,,,,,,,,,,
532,2022-08-31,4,삼각지,,,,,,,,,,,,
533,2022-08-31,4,숙대입구(갈월),,,,,,,,,,,,
534,2022-08-31,4,서울역,,,,,,,,,,,,
535,2022-08-31,4,회현(남대문시장),,,,,,,,,,,,
536,2022-08-31,4,명동,,,,,,,,,,,,
537,2022-08-31,4,충무로,,,,,,,,,,,,
538,2022-08-31,4,동대문역사문화공원(DDP),,,,,,,,,,,,
539,2022-08-31,4,동대문,,,,,,,,,,,,
540,2022-08-31,4,혜화,,,,,,,,,,,,
